TimesheetId,EmployeeId,EmployeeName,Grade,Discipline,LineManager,DeliveryUnit,WorkDate,ProjectCode,ProjectName,Hours
TS00001,E001,Employee 1,Senior,Data,Alice Popescu,DU Insurance,2026-06-01,PRJ04,CRM Modernization,7.5
TS00002,E001,Employee 1,Senior,Data,Alice Popescu,DU Insurance,2026-06-02,PRJ04,CRM Modernization,4.0
TS00003,E001,Employee 1,Senior,Data,Alice Popescu,DU Insurance,2026-06-03,PRJ03,Data Lake,8.0
TS00004,E001,Employee 1,Senior,Data,Alice Popescu,DU Insurance,2026-06-04,PRJ-01,Banking App,0.0
TS00005,E001,Employee 1,Senior,Data,Alice Popescu,DU Insurance,2026-06-05,PRJ02,Payments Platform,8.0
TS00006,E001,Employee 1,Senior,Data,Alice Popescu,DU Insurance,2026-06-06,PRJ01,Banking App,4.0
TS00007,E001,Employee 1,Senior,Data,Alice Popescu,DU Insurance,2026-06-07,PRJ02,Payments Platform,7.5
TS00008,E001,Employee 1,Senior,Data,Alice Popescu,DU Insurance,2026-06-09,PRJ04,CRM Modernization,0.0
TS00009,E001,Employee 1,Senior,Data,Alice Popescu,DU Insurance,2026-06-10,PRJ02,Payments Platform,8.0
TS00010,E001,Employee 1,Senior,Data,Alice Popescu,DU Insurance,2026-06-11,PRJ04,CRM Modernization,8.0
TS00011,E001,Employee 1,Senior,Data,Alice Popescu,DU Insurance,2026-06-12,PRJ01,Banking App,4.0
TS00012,E001,Employee 1,Senior,Data,Alice Popescu,DU Insurance,2026-06-13,PRJ03,Data Lake,7.5
TS00013,E001,Employee 1,Senior,Data,Alice Popescu,DU Insurance,2026-06-16,PRJ04,CRM Modernization,7.5
TS00014,E001,Employee 1,Senior,Data,Alice Popescu,DU Insurance,2026-06-18,PRJ02,Payments Platform,7.5
TS00015,E001,Employee 1,Senior,Data,Alice Popescu,DU Insurance,2026-06-20,PRJ02,Payments Platform,6.0
